인물명 (시대/지역),주요 업적 및 활동 내용,족보여부
무함마드 (570-632),이슬람교를 창시한 예언자 ,
알크메온 (기원전 500년 무렵),"시각신경 및 유스타기오관 관찰, ""뇌가 감각의 중추이며 지능 담당"" 주장 ",
디오게네스 (기원전 460년 무렵),사람 혈관 연구 ,
히포크라테스 (BC 460-370),"의학의 아버지, 4체액설(혈액, 점액, 황담즙, 흑담즙) 제창, 질병의 자연주의적 접근 및 자연치유력 강조 ",
플라톤 (BC 428-347),히포크라테스의 스승 ,
아리스토텔레스 (BC 384-322),"동물비교해부학의 창시자, 대동맥 용어 처음 사용, 후두덮개 및 뇌막 설명, 심장을 지능의 중추로 생각 ",o
헤로필로스 (BC 335-280),"해부학의 아버지, 최초로 사람 공개 해부 및 기록, 동맥과 정맥 구분. 눈, 혈관, 뇌, 생식기관에 관한 해부학을 시도하고 맥박을 물시계로 측정",o
바로 (Varro) (BC 116-27),"질병이 ""보이지 않는 작은 생물""에 의해 전염된다고 주장 ",
아스클레피아데스 (BC 128-40),"기관절개술 창시자, 고형병리학설의 원조. 체액설을 반대하고 고체병리학(병자설) 주장",o
루푸스 (Rufus) (AD 100년 무렵),"해부학 저술가, 동맥 속에 혈액이 들어 있다고 설명 ",
갈레노스 (갈렌) (129-200),"의사들의 왕자, 3가지 생리계통(자연기운-간, 생명기운-심장, 동물기운-뇌) 체계화 및 1,000년 이상 영향 ",o
후나인 이븐 이샤크 (?-873),갈레노스의 많은 저서를 아랍어로 번역 ,
알라지 (라제스) (856-925),"의학책 약 200권 저술, 천연두와 홍역 구별, 식이와 환경위생 강조 ",
알자흐라위 (알부카시스) (936-1013),아랍의 대표적인 외과학 저서 집필 ,
이븐시나 (아비첸나) (980-1037),"이슬람 최대 과학자, 《의학정전(의학규범)》 저술 ",o
콘스탄티누스 (?-1098),"라틴어 저술가, 돼지 해부 내용 기록 ",
빙겐의 힐데가르트 (1098-1179),약초 처방을 비롯한 여러 의학 서적 저술 ,
휴 (Hugh) (1170-1240),테오도리크와 함께 볼로냐 외과학교 설립 ,
이븐 주메이,사람 해부를 실시한 이슬람 의사 ,
로저 (살레르노) (1180년 무렵),외과 교과서 집필 ,
이븐 알나피스 (1213-1288),최초로 혈액의 허파순환(폐순환) 주장 ,
루카의 테오도릭 (1205-1296),"외과의사, 마취제 및 초보적 무균법 실시 ",
베이컨 (Roger Bacon) (1214-1292),"""보이지 않는 살아있는 생물이 질병을 일으킨다""는 가설 주장 ",
테디우스 (1223-1303),의학교 교육과정에 시체 해부를 처음으로 도입 ,
윌리엄 (볼로냐) (1215-1280),"외과 저서 집필, 사람 해부가 1266-1275년 사이 시작되었다고 추정 ",
앙리 드 몽드빌 (1260-1320 무렵),외과의사이자 저술가 ,
바르톨로메오 (1260-1318),최초의 부검 보고서 작성 ,
몬디노 (1276-1326),"해부학의 재건자, 1316년 《해부학》 저술 (200년간 표준 교과서) ",
기 드 솔리아크 (1298-1368),외과책 및 의학책 저술 ,
교황 클레멘스 6세,1348년 역병 사망자 부검 및 사람 해부 공식 허용 ,
토머스 아퀴나스,"《신학대전》 저술, 기독교 신앙 바탕의 진리 탐구 ",
교황 식토스 4세,조건부 사람 해부 허가 칙령 공포 ,
교황 클레멘스 7세,사람 해부 실습 공식 승인 ,
구텐베르크 (1450년 무렵),인쇄기 발명 ,
레오나르도 다 빈치 (1452-1519),"위대한 해부학자, 30구 이상 해부 및 750여 점의 해부도 작성, 뇌실 왁스 주입법 고안 ",o
프라카스토리우스 (1484-1553),"매독 전파경로 추적, 미생물에 의한 전염 가설 주장 ",
코페르니쿠스,"《천구의 회전에 관하여》 저술, 지동설 주장 ",
파라켈수스 (1493-1541),"화학적 의학의 창시자, 갈레노스 체계 비판, 의학의 민주화 추구 ",
암브르와즈 파레 (1510-1590),"외과학의 아버지, 혈관결찰법 발명, 총상 치료 개혁 ",
유스타키우스 (1510-1574),"유스타키오관, 부신, 가슴샘 등 발견 ",
세르베투스 (1511-1553),"허파순환 원리 발견, 삼위일체설 부정으로 처형됨 ",
베살리우스 (1514-1564),"근대 해부학의 창시자, 《인체구조에 관하여(1543)》 저술 ",o
팔로피우스 (1523-1562),"베살리우스의 제자, 여성 생식기 및 내이 연구 ",
코르테스,1519년 아스텍 왕국 정복 (천연두 전파와 관련) ,
파브리시우스 (1537-1619),"하비의 스승, 정맥판막 발견 ",
얀센,최초로 현미경 발명,o
마테오 리치 (1552-1610),"《서국기법》 편찬, 서양 신경학을 중국에 소개 ",
윌리엄 하비 (1578-1657),"근대 생리학의 아버지, 혈액순환 원리를 과학적으로 증명 ",o
데카르트 (1596-1650),"서양철학 및 과학의 효시, ""육체는 기계와 같다""는 기계론 주장 ",
실비우스 (1614-1672),신경해부학 연구 및 폐결핵 결절 발견 ,
토머스 시드남 (1624-1689),"영국의 히포크라테스', 질병의 자연사 구분 및 치료 방향 설정 ",o
말피기 (1628-1694),"조직학의 창시자, 모세혈관 및 적혈구 발견, 하비의 순환설 완성 ",
레벤후크 (1632-1723),"현미경 발전, 미생물(세균, 원충 등) 최초 관찰 및 정자 발견 ",
